consensus_window,confidence_threshold,model,stream,seed,accuracy,false_positive_rate,mean_detection_delay,composite
250,0.3,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
250,0.3,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.3,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.3,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.35,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
250,0.35,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.35,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.35,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.4,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
250,0.4,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.4,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.4,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.45,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
250,0.45,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.45,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.45,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
300,0.25,sgd_logistic,sea,42,0.7554044127464294,1.0,,0.0
300,0.25,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
300,0.25,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
300,0.25,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
300,0.3,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
300,0.3,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
300,0.3,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
300,0.3,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
300,0.35,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
300,0.35,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
300,0.35,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
300,0.35,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
300,0.4,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
300,0.4,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
300,0.4,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
300,0.4,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
300,0.45,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
300,0.45,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
300,0.45,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
300,0.45,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
